review
kalau bisa di perbarui lagi
KEREN!!!
"Kalo yang udah daftar terus di login pake facebook gampang,,, tapi kok quipper sekarang makin jelek"
Kode kelas tidak di temukan gimana nh min??? Dan untuk smk di tambah dong!!!!
"hai quipper video 😊 , saya ingin memberi masukan, lebih baik video yang sudah di unduh dan di simpan secara offline tidak dihapus dalam waktu 7 hari, lebih baik waktunya di perpanjang menjadi 5 bulan atau 3 bulan. terima kasih apabila pihak quipper video menerima saran saya dan melakukan pembenahan."
"Mohon diperbaiki, setelah diupdate konten soal terkadang tidak bisa diunduh dengan sempurna kemudian tidak bisa menyambungkan ke internet lewat aplikasi, banyak soal yang sudah dijawab dengan betul dianggap tolong diperbaiki"
"Tambahin fitur tany Guru dong biar lebih paham lagi. Tapi semuanya udah bagus. Yang bilang jelek Gk Pada bisa make,cek dulu baru download jangan kalah sama hp yang udah pinter tapi manusianya begl"
"Masa gak ada pembahasan soal un materi buat un juga tidak ada , aneh sekali , banyak soal yang salah dan tidak dapat dibuka , maksudnya gimana ini , tolong benahi kasian yang sudah langganan bayar mahal tapi tidak memuaskan sama sekali , saya merasa agak kecewa , materi juga tidak lengkap , tolong kalo.mau dijual disempurnakan dulu terima kasih"
Gimana cari maga pelajaran yang pangen ditanya. Dan kenapa malah UN 2013 GAK ADA UN 2017 or 2016 gtu??
"Quipper itu seperti aplikasi les belajar buat di rumah atau dimanapun dari hp, wajar saja kalau bayar, kualitas gurunya juga bagus sekali."
"Setelah saya update quipper, saya pengguna quipper video yang ingin belajar matematika selalu bilang tidak bisa di aplikasi harus di web, tapi tulisan webnya ga bisa dipencet, padahal dulu bisa dan langsung ke soal yang saya inginkan, perbaiki cepat, UN mulai dekat"
"Ga bisa daftar lewat Facebook ! Payah dasar, tolong di perbaiki lagi"
"Quipper video sngt membantu dlm bljr, over all saya suka bngt sm app ini. Cma, tolong taskbook nya diperbaiki yah , soalnya waktu saya bimbel prnh ditemukan ada soal di taskbook yg salah cetak angka, atau jwban nya salah. Itu bisa menyesatkan bagi para pelajar, jd tolong diperbaiki konten nya. Di check lg barangkali msh ada yg salah pengerjaan nya, terutama di soal mtk"
Masih ada beberapa konten yg perlu ditambah materi2 baruvmisalnya
Kok aku daftar gak bisa sih... Tolong di perbaiki
Bagus sekali karena sangat membantu ealam belajar
Kalo gaada kuota masih bisa nonton video di quipper ga?
"Aplikasi ini cukup baguuss, karena di aplikasi ini bisa membantu kalian para pelajar yg kurang memahami materi disekolah, karena kalian akan mendapatkan ""super solusi"" yg memudahkan kalian dalam menjawab soal dengan cepat, tapi disetiap aplikasi itu pasti memiliki kekurangan, jadi saya punya saran untuk PIHAK QUIPPER agar bisa menambahkan fitur chat/video secara langsung oleh mentornya agar jika kita merasa kesulitan dalam mengerjakan PR dari sekolah bisa tanya langsung dengan mentor"" yg SANGAT BAGUS yg ada di aplikasi ini👍👍, sekian terimakasih😊"
aplikasi ga bagus padahal.udh login.tapi selalu.ga masuk buka beranda aja ga isa
Keren banget jadi kalo ada ulangan ga usah khawatir deh
Aku baru download aja udah senang kali apa lagi kalau udah di coba
"Saya belum dapat kode kelas untuk kelas 7 ,agak rugi."
Maksudnya masukan kode tuh apa? Terus minta sama siapa? Help mee.-
Knp quipper nya ga bsa kebuka?? Pdhl udh d install ulang?? Dstu bnyk tgs. Quipper ko skrg jelek??
Kode buat gabung kelas apa ya?
"Saya kok g bisa masuk"" ya"
Kok nggak bisa masuk sih
Ka Ko Gabisa Masukk😂
Masa gk bisa masuk najis
Knp ngk ad untuk sd kls 6
Tolong di perbarui untuk tahun pelajaran yang baru
Aku suka banget ihhh
Gimana ubah photo profilnya? tolong ya!
Materinya ditambah dong
Cara buat login dan buat pembayarannya gmna?
ga bisa daftar bhaks
Quipper ini sangat membantu aku
Kode kelas gimana isinya ?
Insya allah tidak mengecewakan
Bagus untuk guru dan murid
lah kok ngga bisa daftar???? payahhhhhh
Kode kelasnya apa?
Loadnya lama
Sangat membingungkan
Mlebune mulek
Lebih bagus
Aplikasi ini berbayar ya ???
Keren😆
Lumayan juga
Waktubitu saya donload tapi saat saya buka nama sekolah sy tdk ada dan harga paket mahal tolong perlengkapin dong nam sekolahnya sama murahin harganya dong
Yahh gk bisa buka quiper vidionya deh pake duit bukanya dan paling orang tuaku gk bolehin :'( gk bisa belajar sama quiper :'(
Untuk soal yang tidak bisa dibuka di app (harus di web) tolong untuk tetap bisa mendownload videonya lewat aplikasi.
Kak sekolah saya g ada jd bingung daftarnya. MTsN 1 Bandar Kidul Kediri
Ini kode kelasnya maksutnya gimana ya? Sudah saya masukkan kodenya tapi gak bisa!
"Bukanya belajar Mala buang buang waktu buat daftar, sudah berkali-kali di coba daftar tetap aja gak bisa masuk padahal data-data yang kita masukan sudah benar"
Menurut saya paket harganya itu kemahalan deh.. jd blm tentu dibolehin sm ortu .. jd mohon paket harganya di turunin yaa
Gak jelas Maksudnya apa sh Kok ada kode kelas2.... Ngga tau deh Jadi bingung
Aku lihat dulu aja ah aku kan br doenload
Kok setelah di perbarui aku coba download videonya gak bisa2 sih ? Padahal kualitas jaringannya sangat bagus loh. Ini gimana ?
"Mending Punya App ini cuma bayar 1juta, udah lengkap. Ini sama seperti les online bahkan sekolah online. Materinya lengkap. Daripada les di bimbel 5jt bahkan lebih, materi ngga lengkap, harus keluar tenaga waktu bensin dll. Kalo ini cuma kita liat di hp dan bisa di download videonya.. Thanks Quipper. Sangat suka, love it. Terimakasih untuk pembiat aplikasi ini dan juga para mentor😍"
sangat membantu sekali dalam belajar terima kasih quipper ^_^
Top dah buat quipper Ga nyesel langganan 😂👍
"Jelek banget!!! Udah berulang kali download tapi ttp aja sama ,,ga bisa daftarin,,,padahal semua data nya udah ku isi dengan benar,,,pokoknya saran aku jangan download ,percuma 😰😷🙊👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎+++"
Maksudnya sandi itu apa sih harus diisi apa tolong beri tahu saya
Ga bisa daftar log in pake FB juga ga bisa tolong perbaiki
Thanks quipper belajar ku jadi terbantu sejak ada aplikasi quipper thanks pokonya membantu bngt
"Ka susah daftarnya,gimana tolong bantu"
Sekolah saya kok gak ada ya.. SMK Grafika Mardi Yuana Bogor jurusan DKV?
Gimana dong aku kan gak punya email
Tolong beritahu cara menggunakan aplikasinya masih kurang laham
Ko saya tidak bisa mendaftar ya padahal saya sudah masukan smua peraturan dgn benar..
Banyak yang harus dibuka lewat web. Apa gunanya ada aplikasi tapi harus dibuka lewat web. Saya agak menyesal langganan.
"Ndk rugi bayar mahal,hasil nya aku dpat rengking 1"
The aplication is very well
Kenapa waktu itu saya tidak bisa unduh video quipper pakai wifi
Bagaimana cara mendapatkan kode kelas baruh?Bisah dibantu?
"Lumayan siihh.. Tapi kok, ada kode kelas segala macem ya?? Aku gl ngerti.. Guru aku gk ngasih tau kode kelasnya.. Atau mungkin gk ada yg pake aplikasi ini... Tolong donk.. Gk usah adain kode kelasnya..."
"Hambuh rak ngerti ,ono kode kelas ig maksute pye to ra mudeng..😡😣"
Kenapa pas sementara lagi daftar quipper nya engga jadi pas lagi daftar
Gak bisa di pake .
Kok ngak ada nama sekolah aku ya
Mau nanya dong kok aku gk bsa daftar ya?
Semoga lebih maju lagi Quipper 😊
"Bagus,jadi enak ngerjain tugas nya"
Kalau pindah bab gimana caranya?
Susah daftar ny
"Terima kasih , atas bantuanya Quipper"
Seharusnya ada soal untuk sd juga!
Gimana cara masukan kode kelasnya..?
Mengapa materi biologi tidak adaa!?
I like this application. Easier to learn 😋😋
Kode kelas nya gimana
"saat saya mendaftar,kok tidak bisa?"
Cacat quiper vidio gembel
Gak bisa buat SD ya? Hmmm...
Bikin belajar lebih mudah
Jawaban bener kok disalahin
Kak kok mahal sih... tolong murah in yyyyy.... plissss
Bagus banget banget 99999× banget
Materi untuk smk gaada?
Bikin pinter
Benci
"TOlong dong quipper, pas saya udah masuk pakai gmail sama pasword yang bner kok malah bacaan servernya ada masalah padahal sudah di perbaharui aplikasinya 😢"
"Not good but not too bad. if you have some wrong in this app, please use chrome or the other browser"
"Saya sudah beli akun dan sudah membayar,, tapi kenapa waktu menambahkan mata pelajaran dikatakan ""anda tidak memiliki mata pelajaran untuk ditambahkan""? mohon bantuannya,"
"Suka sih, tapi mau daftar susah. Nama sekolah ku belum tercantum. SMK TRI MITRA 2 CIKAUM"
"apaann daftar aja susah amat ,di masukin akun nggak bisa,daftar lewat facebook jga nggak bisa. #Payah"
Kenapa ya jawabannya salah yg bahasa Inggris SMP soalnya speech masa sama dengan address harusnya say mohon diperbaiki
Ini gimana ya. ?? Saya udah baca balasan komen dari auipper dan saya udah lakuin semua dan dicoba berkali kali tapi ngak bisa
"Beranda tolong di lengkapin biar lebih efektif, mata pelajarannya kurang seperti Kurikulum 2013 matematika Hanya Ipa dan Ips khusus matematika tekniknya belum ada. Dan mata pelajaran yg lainnya masih kurang."
Saya harap aplikasi ini bisa menyimpan videonya di kartu memori eksternal :v
Daftarnya ribet .... Harus bayar dan sekolahnya belum lengkap ... Tolong diperbaiki supaya saya bisa belajar di rumah lebih giat tanpa belajar bareng dengan tmn
Gimana cara masuk kelas?? Guruku ngga ada yang pake quipper tolong bantu min
"Jd susah buat login, videonya gk ke download, server bermasalah terus😥😥"
Tidak bisa daftar harap diperbaiki lagi masa daftar nya enggak bisa si
ko ngga bisa ya padahal udah di masukin email sama kata sandi tolong diperbaiki
Bug - bugnya diperbaiki dan kalau maintenance-nya jangan lama lama soalnya saya butuh penjelasan dari quipper mohon diperbaiki lagi
Tolong Pelajaran kimianya dimunculkan kembali karena saya sangat membutuhkan sekali pelajaran ini. Tolongg dongg Quipper
"Kenapa tidak ada mapel biologi untuk kls 10-11? Kalau bisa semua materi bisa dibuka di aplikasi, supaya saya bisa mengunduhnya"
susah bgt log in nyaaaa😬!!!padahal sinyal bagus!😏
Saya sudah mencoba berkali kali tp masih tidak bisa masuk qupper
Apakah kalau punya aplikasi quipper video harus bayar ? Bagaimana jika saya tidak bayar karena saya tidak mampu untuk membayarnya
Gimana caranya buat masukin jadwal belajar ko ga bisa terus yaa mohon dibantu yaa
Susah daftarnya Padahal udh dipencet daftar pasti gk bisa tolong diperbaiki lagi
Memang bagus cuman waktu mau daftar akun aja susah Loadingnya balik lagi balik lagi
Gmn cara masuk kelas nya
Kok Sekolah sya gk tercantum sihh padahal sekolah wlyah pesanggrahan kodam bintaro terkenal???
Mendingan ruang guru dari pada quiper udh bayar GA bisa lagi
Bgus dn mmbantu skali dlm mgrjakan soal2 pljaran d skolah
Susah buat ganti password udah ngikutin instruksi masih salah mulu
"Saya udah login kok tiba tiba ada tulisan sedang dalam perbaikan,,,itu maksudnya gimana,,,percuma dong saya bayar gabisa pakai,,,tolong dong gimana,,,penting ni"
Kenapa ya pelajaran biologi nya tdk ada?padahal paling butuh pelajaran ituu
Maksudnyaa kode kelas dr guru apaan? Walas saya aja gatau-_-
Sukaaa. Bikin aku makin paham dengan rumus2 sederhananya
"Top banget nih aplikasi, mohon sama admin materi ujian stan dimasukkan juga 👍👍👍"
Tutor nya lucu apa lg kak cecep
Saya sangat suka karna kita dapat belajar di mana aja dan kapan pun
Kasi tau dong kode kelas 6 gimana sih
Kalo gak punya kode kelas bagaimana cara daftar kelasnya ya?
Bagaimana sih cara menambahkan materi dan mengunduh vidio
Tambahkan materi biologi untuk kelas 11 di quipper video
Ko nama smp saya gak ada sih
Kenapa Ouipper Nya Gak Bisa Dibuka(didaftarkan)
Gak tau gimana gabung kelas nya :v
Saya tdk bisa masuk
Tapi saya gak ADA Kode kelas tuh!!
Klo kelas kita blm buat quipper vidio gimna
Aku gak ngerti maksudx kode soalx
Videox sdh di unduh malah terhapus semua
Aplikasi yg bagus skali
Karna cara belajarnya lebih mudah dan tidak membosankan
Mantap buat bljr d rmh
Bagus banget kamus ini aku suka banget dari laura
jelek gak bagus pakek kuota lagi 💩
"Knp , gk ada yang buat sd kls 6 sih!!!"
"Aplikasinya udah bagus,tapi masih begitulah"
ini aplikasi quippernya bisa didownload untuk PC atau tidak??
Bagus buat ank pintar Ok
Aplikasi ini bagus bgt tapi apakah aplikasi ini bayar
gimana sih caranya ngasih kode itu?
Thank you💙
Kok kaga bisa daftar daftar si ?
Susah kode kelasnya bagaimana nyarinya
Gimana sih cara masuknya
Kenapa gak bisa masuk?!
"Daftarnya susah,,gmn ini..kecewa bngt."
Saya suka sekali
Susah banget mendaftarnya
Knp gk ada sekolah saya??
Gak bisa masuk
Kok gal bisa daftar sih ..??.
Saya jadi ingin terus belajar deh .....😀
Pengguna Google
Aplikasi ini keren
Mantap
balekkan uangku
sudah mantap
Suka
Joob
Oke
( ._.)n
"Kenapa aq gak bisa msk,,padahal aq udah kasih namaku,,gmailku😢"
Ko saya daftar ke quipper video nya ga bisa?
Apaan sihh masak mendaftar aja payah banget-_ tolong lah diperbaikin aplikasinya perlu loh-_
Tutornya seru banget!
Kenapa harus ada no ortu
"Saya sangat suka cara pembelajaran di Quipper Video, Tutor nya juga asikk berkat Quipper video saya dapat rangking 1 se-angkatan, terimakasih quipper,,, masukannya supaya dilengkapi prediksi UN Smp 2017"
Aku suka deh belajarnya jadi seru aku belajar di quiper bisa dapat rangking 1 kok betull! Harganya llpebih murqh daripada bimbel
"Great!! 😄😄 Ada kelas bahasa inggris ngga pa? Kalo ada, boleh kah saya ikut masuk? Saya ingin belajar lagi... 😅"
"Sekolah saya belum terdaftar nih ""SMA Widya Pratama"" tolong didaftarin segera yah, soalny gak bisa daftar klo gak ad sekolanya.Thanks"
Bagus banget sih cuma sayang materi biologi kelas 10 & 11 ga ada jdi sy kasih 3 bintang dulu ya 😁
Kok nama sekolah saya gak ada trz adanya paket smp sama sma masukin akunnya juga gk bisa padahal emailnya bener
Gimana si cara masuknya make email gk bisa make fb gk bisa. Pdahal aku udh download lama bgt tau
Jelek masa ga bisa di buka orang udah masukin email aku malah udah pake email facebok tapi tetap aja ga bisa Nyesel ih😩😩
"Itu quipper video harus bayar 790k yg tau jawab dong, berarti gk gratis?"
Kalo ga punya kode kelas gmana cara daftar nya?yang tau tolong bantu jawab
Caranya daftar gimana ? Aku dah daftar lewat email dan facebook kok g bisa2 mohon segera dperbaiki
"Sangat membantu ,tapi kalo belajar malem suka ngedengerin nya ketiduran terus hehehe"
Saya ingin sekali belajar tetapi saya tdk dpt lgsung membayar jika harganya segitu.. Bisakan dibayar per hari saja??
Cara daptar masuk email nya macam mna masa email saya dak bisa di masukan padahal email saya aktif
Saya kga bisa daftar sama login via facebook tolong pencerahan nya dong admin
"Kenapa videonya tidak terputar terus. Dan nggak bisa di unduh. Tolong perbaiki, masa saya udah bayar mahal mahal gak bisa nikmati fitur videonya. Kalau jaringan ,saya buka youtube lancar kok sama yang lainnya juga."
